geneID	geneSymbol	geneNames	GOTerms	GemmaIDs	NCBIids	platform
Taok1	Taok1	TAO kinase 1	GO:0000165|GO:0000186|GO:0006281|GO:0006468|GO:0006915|GO:0006974|GO:0007346|GO:0016310|GO:0023014|GO:0031098|GO:0031572|GO:0032874|GO:0042981|GO:0045860|GO:0046330|GO:0051493|GO:0097194	|798541	|216965	GPL11180|GPL1261|GPL339|GPL6096|GPL6246|GPL6333|GPL7042|GPL7202|GPL8321
Sebox	Sebox	SEBOX homeobox	GO:0006351|GO:0006355|GO:0007275|GO:0009792|GO:0030154|GO:0048477	549167|	18292|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Sipa1	Sipa1	signal-induced proliferation associated gene 1	GO:0042631|GO:0051056|GO:0051726	|571923	|20469	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Ttpal	Ttpal	tocopherol (alpha) transfer protein-like	GO:0006810	726971|	76080|	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Sephs1	Sephs1	selenophosphate synthetase 1	GO:0016310	|770916	|109079	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Phf10	Phf10	PHD finger protein 10	GO:0006351|GO:0006355|GO:0007399	699899	72057	GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL8321
Csrnp3	Csrnp3	cysteine-serine-rich nuclear protein 3	GO:0006351|GO:0006355|GO:0006366|GO:0006915|GO:0010923|GO:0043065|GO:0045944	736053|	77771|	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Gpn3	Gpn3	GPN-loop GTPase 3		669192	68080	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Homer3	Homer3	homer homolog 3 (Drosophila)	GO:0007216|GO:2001256	599632	26558	GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
Nub1	Nub1	negative regulator of ubiquitin-like proteins 1	GO:0006511|GO:0016567|GO:0032436	615542|	53312|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rcor3	Rcor3	REST corepressor 3	GO:0006351|GO:0006355	|794626	|214742	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL8321
Sln	Sln	sarcolipin	GO:0070296|GO:1901077|GO:1901894	645555	66402	GPL11180|GPL1261|GPL339|GPL6096|GPL6246|GPL6885|GPL7042|GPL7202|GPL8321
Sra1	Sra1	steroid receptor RNA activator 1	GO:0006357|GO:0008283|GO:0030154|GO:0042981|GO:0045944|GO:1903506|GO:2000273	|596781	|24068	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rfc1	Rfc1	replication factor C (activator 1) 1	GO:0000122|GO:0006260|GO:0006281|GO:0006351|GO:0006355|GO:0045892|GO:0045893	|564130	|19687	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Dcaf7	Dcaf7	DDB1 and CUL4 associated factor 7	GO:0007275	697046|	71833|	GPL11180|GPL1261|GPL6096|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Msh2	Msh2	mutS homolog 2 (E. coli)	GO:0000710|GO:0001701|GO:0002204|GO:0006119|GO:0006281|GO:0006298|GO:0006301|GO:0006302|GO:0006311|GO:0006974|GO:0007049|GO:0007050|GO:0007131|GO:0007281|GO:0008340|GO:0008584|GO:0008630|GO:0010165|GO:0010224|GO:0016446|GO:0016447|GO:0019724|GO:0030183|GO:0031573|GO:0042771|GO:0043524|GO:0043570|GO:0045128|GO:0045190|GO:0045910|GO:0051096	541684|	17685|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Krtcap2	Krtcap2	keratinocyte associated protein 2	GO:0018279	640716	66059	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL81|GPL8321
NA	NA	NA	NA	NA	NA	NA
Tbrg1	Tbrg1	transforming growth factor beta regulated gene 1	GO:0006260|GO:0007049|GO:0007050|GO:0008285|GO:0032066|GO:0050821	579707	21376	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Alkbh3	Alkbh3	alkB, alkylation repair homolog 3 (E. coli)	GO:0006281|GO:0006307|GO:0006974|GO:0008283|GO:0035552|GO:0055114|GO:0080111	678189|	69113|	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Slc16a6	Slc16a6	solute carrier family 16 (monocarboxylic acid transporters), member 6	GO:0006810|GO:0015718|GO:0034220|GO:0055085|GO:0098656|GO:1903825	|761720	|104681	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Rnf145	Rnf145	ring finger protein 145		715634	74315	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
BC065397	BC065397	cDNA sequence BC065397		888356	436230	GPL11180|GPL1261|GPL6096|GPL6246|GPL7042|GPL7202
Vash1	Vash1	vasohibin 1	GO:0001525|GO:0001937|GO:0007049|GO:0007050|GO:0009611|GO:0010596|GO:0010628|GO:0016525|GO:0043537|GO:0045765|GO:1901491|GO:2000772	830486|	238328|	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Pqlc2	Pqlc2	PQ loop repeat containing 2	GO:0006810|GO:0006865|GO:0015809|GO:0015819|GO:0080144|GO:1903401|GO:1903826	791533	212555	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Slc15a2	Slc15a2	solute carrier family 15 (H+/peptide transporter), member 2	GO:0006857|GO:0042891|GO:0042938	632349|	57738|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Wdr20	Wdr20	WD repeat domain 20		682016	69641	GPL1261|GPL339|GPL6096|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Zcchc17	Zcchc17	zinc finger, CCHC domain containing 17	GO:0002230|GO:0098779	|893655	|619605	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Mtrr	Mtrr	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	GO:0006306|GO:0008652|GO:0009086|GO:0033353|GO:0043418|GO:0046655|GO:0050667|GO:0050821|GO:0055114|GO:1904042	|788322	|210009	GPL11180|GPL1261|GPL339|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
NA	NA	NA	NA	NA	NA	NA
Frs3	Frs3	fibroblast growth factor receptor substrate 3	GO:0008543	767607	107971	GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Ebf4	Ebf4	early B cell factor 4	GO:0006351|GO:0006355|GO:0006366|GO:0007275|GO:0045944	|812918	|228598	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Csnk2b	Csnk2b	casein kinase 2, beta polypeptide	GO:0010862|GO:0016055|GO:0032927|GO:0033211|GO:0043537|GO:0061154	496657	13001	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rnf32	Rnf32	ring finger protein 32		630585|	56874|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Kdm2b	Kdm2b	lysine (K)-specific demethylase 2B	GO:0000122|GO:0006351|GO:0006355|GO:0007283|GO:0016568|GO:0016577|GO:0021555|GO:0021592|GO:0021670|GO:0021678|GO:0021993|GO:0030900|GO:0030901|GO:0030902|GO:0035518|GO:0043524|GO:0048596|GO:0055114|GO:2000178	607787	30841	GPL11180|GPL1261|GPL339|GPL6096|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Pter	Pter	phosphotriesterase related	GO:0009056	|560051	|19212	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Lrfn1	Lrfn1	leucine rich repeat and fibronectin type III domain containing 1		742830|	80749|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Sharpin	Sharpin	SHANK-associated RH domain interacting protein	GO:0007005|GO:0008544|GO:0010803|GO:0030262|GO:0031424|GO:0043123|GO:0050728|GO:0051260|GO:0097039|GO:2000348	|764000	|106025	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Asb6	Asb6	ankyrin repeat and SOCS box-containing 6	GO:0035556	702290|	72323|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Gpsm3	Gpsm3	G-protein signalling modulator 3 (AGS3-like, C. elegans)	GO:0008277	|764597	|106512	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Wdr73	Wdr73	WD repeat domain 73		698690	71968	GPL11180|GPL1261|GPL6096|GPL6246|GPL6333|GPL7042|GPL7202
Zcchc18	Zcchc18	zinc finger, CCHC domain containing 18	GO:0030509	|653940	|66995	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Efcab12	Efcab12	EF-hand calcium binding domain 12		791409	212516	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Jak1	Jak1	Janus kinase 1	GO:0006468|GO:0007167|GO:0007169|GO:0016310|GO:0016477|GO:0018108|GO:0019221|GO:0030154|GO:0035556|GO:0038083|GO:0038110|GO:0042127|GO:0045087|GO:0046677|GO:0046777	|529442	|16451	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rarres2	Rarres2	retinoic acid receptor responder (tazarotene induced) 2	GO:0001523|GO:0001934|GO:0006935|GO:0006952|GO:0006954|GO:0010759|GO:0030154|GO:0045600|GO:0048566|GO:0050873|GO:0050921|GO:0050994|GO:2001275	|695043	|71660	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Mfsd7c	Mfsd7c	major facilitator superfamily domain containing 7C	GO:0006810|GO:0015886|GO:0055085	|800731	|217721	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
1110032A03Rik	1110032A03Rik	RIKEN cDNA 1110032A03 gene		674903	68721	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Sik3	Sik3	SIK family kinase 3	GO:0001958|GO:0006468|GO:0016310|GO:0032880|GO:0035108|GO:0035264|GO:0048705|GO:0060351	689216|	70661|	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Tmem50b	Tmem50b	transmembrane protein 50B		736983	77975	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Zbtb43	Zbtb43	zinc finger and BTB domain containing 43	GO:0006351|GO:0006355	|697078	|71834	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Arl4c	Arl4c	ADP-ribosylation factor-like 4C	GO:0006810|GO:0007264|GO:0032456	865348	320982	GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Syn2	Syn2	synapsin II	GO:0007269	578760|	20965|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Fam50a	Fam50a	family with sequence similarity 50, member A		|768998	|108160	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Gpatch2l	Gpatch2l	G patch domain containing 2 like		686931	70373	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Rfxank	Rfxank	regulatory factor X-associated ankyrin-containing protein	GO:0006351|GO:0006355|GO:0007265|GO:0045944|GO:1903506	|564745	|19727	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Edem1	Edem1	ER degradation enhancer, mannosidase alpha-like 1	GO:0006986|GO:0030433	782695	192193	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Col25a1	Col25a1	collagen, type XXV, alpha 1	GO:0060385	732831|	77018|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Zfp64	Zfp64	zinc finger protein 64	GO:0006351|GO:0006355|GO:0007275|GO:0048026	592763|	22722|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rnf25	Rnf25	ring finger protein 25	GO:0016567|GO:0051092	632524	57751	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Psmd9	Psmd9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	GO:0032024|GO:0045893|GO:0045944|GO:0046676|GO:0070682|GO:0097050	656473|	67151|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Dnaja3	Dnaja3	DnaJ (Hsp40) homolog, subfamily A, member 3	GO:0000122|GO:0006264|GO:0006457|GO:0006469|GO:0006915|GO:0006919|GO:0006924|GO:0007005|GO:0007264|GO:0007528|GO:0007569|GO:0008285|GO:0009408|GO:0009790|GO:0031398|GO:0032088|GO:0033077|GO:0034341|GO:0042026|GO:0042102|GO:0042981|GO:0043065|GO:0043066|GO:0043069|GO:0043124|GO:0043154|GO:0050790|GO:0050821|GO:0060336|GO:0071340	745998|	83945|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Zfp207	Zfp207	zinc finger protein 207	GO:0000070|GO:0007049|GO:0007059|GO:0007067|GO:0007094|GO:0008608|GO:0050821|GO:0051301|GO:0051983	|592172	|22680	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
March7	March7	membrane-associated ring finger (C3HC4) 7	GO:0002643|GO:0042130	632150|	57438|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Timm8b	Timm8b	translocase of inner mitochondrial membrane 8B	GO:0006810|GO:0015031	607515	30057	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rai14	Rai14	retinoic acid induced 14		|724153	|75646	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Chd7	Chd7	chromodomain helicase DNA binding protein 7	GO:0001501|GO:0001568|GO:0001701|GO:0003007|GO:0006351|GO:0006355|GO:0006364|GO:0007417|GO:0007512|GO:0007605|GO:0007626|GO:0007628|GO:0008015|GO:0016568|GO:0021545|GO:0021553|GO:0021772|GO:0030217|GO:0030540|GO:0035116|GO:0040018|GO:0042048|GO:0042471|GO:0042472|GO:0043010|GO:0043584|GO:0048752|GO:0048806|GO:0048844|GO:0050767|GO:0050890|GO:0060021|GO:0060041|GO:0060123|GO:0060173|GO:0060324|GO:0060429	|864135	|320790	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
Pyurf	Pyurf	Pigy upstream reading frame	GO:0006506|GO:0009893	646380	66459	GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Rac2	Rac2	RAS-related C3 botulinum substrate 2	GO:0006935|GO:0007015|GO:0007186|GO:0007264|GO:0008284|GO:0010592|GO:0010810|GO:0030031|GO:0030036|GO:0045453|GO:0060263|GO:0071593|GO:0090023|GO:1902622|GO:1903955	562606|	19354|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Fmnl1	Fmnl1	formin-like 1	GO:0006929|GO:0007010|GO:0008360|GO:0009987|GO:0016043|GO:0030036|GO:0051014	632780	57778	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Tspyl2	Tspyl2	TSPY-like 2	GO:0006334|GO:0006351|GO:0006355|GO:0007049|GO:0008156|GO:0016568|GO:0030308|GO:0045859	|614949	|52808	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Pms2	Pms2	postmeiotic segregation increased 2 (S. cerevisiae)	GO:0006281|GO:0006298|GO:0006974|GO:0007126|GO:0016446|GO:0016447	556058|	18861|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Mtss1l	Mtss1l	metastasis suppressor 1-like	GO:0007009|GO:0097178	837968	244654	GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81
Cox14	Cox14	cytochrome c oxidase assembly protein 14	GO:0033617	645210	66379	GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Dph7	Dph7	diphthamine biosynethesis 7	GO:0017183	657569	67228	GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Thoc7	Thoc7	THO complex 7 homolog (Drosophila)	GO:0006397|GO:0006406|GO:0006810|GO:0008380|GO:0046784|GO:0051028	643181	66231	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
Cycs	Cycs	cytochrome c, somatic	GO:0006122|GO:0006123|GO:0006309|GO:0006915|GO:0008635|GO:0042743|GO:0042773	497921|	13063|	GPL11180|GPL1261|GPL339|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Dgcr6	Dgcr6	DiGeorge syndrome critical region gene 6		500177	13353	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Ttc7	Ttc7	tetratricopeptide repeat domain 7	GO:0006879|GO:0030097	806640|	225049|	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Prkca	Prkca	protein kinase C, alpha	GO:0000188|GO:0000302|GO:0001525|GO:0001933|GO:0001934|GO:0001938|GO:0002026|GO:0002062|GO:0002159|GO:0006468|GO:0006469|GO:0006874|GO:0006915|GO:0006937|GO:0007155|GO:0007611|GO:0008285|GO:0010595|GO:0010613|GO:0016310|GO:0017148|GO:0018105|GO:0018107|GO:0021955|GO:0030335|GO:0030593|GO:0031666|GO:0032355|GO:0034351|GO:0035408|GO:0035556|GO:0036289|GO:0043536|GO:0045471|GO:0045651|GO:0045766|GO:0045785|GO:0045822|GO:0045921|GO:0045931|GO:0046325|GO:0046627|GO:0046777|GO:0048259|GO:0048661|GO:0050729|GO:0050730|GO:0050930|GO:0051965|GO:0070374|GO:0070555|GO:0071322|GO:0090330|GO:0097193|GO:2000707	|554551	|18750	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rps20	Rps20	ribosomal protein S20	GO:0006412	660094	67427	GPL11180|GPL6096|GPL6333
Dok7	Dok7	docking protein 7	GO:0001934|GO:0007528|GO:0043113|GO:0061098	|818663	|231134	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Adcy8	Adcy8	adenylate cyclase 8	GO:0006171|GO:0007189|GO:0007616|GO:0009190|GO:0019933|GO:0035556	476173	11514	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Psmd2	Psmd2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	GO:0042176	581687|	21762|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
NA	NA	NA	NA	NA	NA	NA
Pgm2l1	Pgm2l1	phosphoglucomutase 2-like 1	GO:0005975|GO:0006006|GO:0016310|GO:0071704	|691286	|70974	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Gamt	Gamt	guanidinoacetate methyltransferase	GO:0006601|GO:0007283|GO:0009887|GO:0032259|GO:0040014|GO:0046498|GO:0046500	|511826	|14431	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Fmn2	Fmn2	formin 2	GO:0006810|GO:0006974|GO:0007275|GO:0015031|GO:0016192|GO:0016344|GO:0040038|GO:0042177|GO:0043066|GO:0045010|GO:0046907|GO:0048477|GO:0051017|GO:0051295|GO:0051758|GO:0070649|GO:0071456	620024	54418	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
NA	NA	NA	NA	NA	NA	NA
Anln	Anln	anillin, actin binding protein	GO:0000281|GO:0002244|GO:0007049|GO:0007067|GO:0051301|GO:0090521	|675217	|68743	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Fars2	Fars2	phenylalanine-tRNA synthetase 2 (mitochondrial)	GO:0006412|GO:0006418|GO:0006432|GO:0008033|GO:0043039	684356|	69955|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Myg1	Myg1	melanocyte proliferating gene 1	GO:0035641	636766	60315	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Cstf3	Cstf3	cleavage stimulation factor, 3' pre-RNA, subunit 3	GO:0006379|GO:0006396|GO:0006397|GO:0031123	812702|	228410|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Ddx54	Ddx54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	GO:0006351|GO:0006355|GO:0006396|GO:0010501|GO:0016070|GO:1903507	699023|	71990|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Zcchc3	Zcchc3	zinc finger, CCHC domain containing 3		667033	67917	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Isyna1	Isyna1	myo-inositol 1-phosphate synthase A1	GO:0006021|GO:0006629|GO:0008654	696513	71780	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Creb3	Creb3	cAMP responsive element binding protein 3	GO:0001558|GO:0002230|GO:0006351|GO:0006355|GO:0006366|GO:0006935|GO:0006986|GO:0006990|GO:0019043|GO:0019046|GO:0030335|GO:0030968|GO:0042127|GO:0042994|GO:0045893|GO:0045944|GO:0051928|GO:0090026|GO:0090045|GO:1902236	|495324	|12913	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Stub1	Stub1	STIP1 homology and U-Box containing protein 1	GO:0000209|GO:0006281|GO:0006457|GO:0006511|GO:0006515|GO:0006974|GO:0016567|GO:0030579|GO:0030968|GO:0031398|GO:0031943|GO:0032091|GO:0032436|GO:0043161|GO:0051443|GO:0051604|GO:0051865|GO:0070534|GO:0071218|GO:0090035	626600|	56424|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
Gtpbp3	Gtpbp3	GTP binding protein 3	GO:0006400|GO:0008033	|686836	|70359	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Bcap31	Bcap31	B cell receptor associated protein 31	GO:0006810|GO:0006886|GO:0006888|GO:0006915|GO:0006955|GO:0007204|GO:0015031|GO:0016192|GO:0032471|GO:0035584|GO:0043280|GO:0051561|GO:0070973|GO:2001244	601895|	27061|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Ecel1	Ecel1	endothelin converting enzyme-like 1	GO:0003016|GO:0006508|GO:0007218|GO:0035556	502399	13599	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Fancd2	Fancd2	Fanconi anemia, complementation group D2	GO:0006281|GO:0006974|GO:0007049|GO:0007129|GO:0007275|GO:0007276|GO:0010332	790281|	211651|	GPL11180|GPL1261|GPL6103|GPL6246|GPL6885|GPL7042|GPL7202
Kcmf1	Kcmf1	potassium channel modulatory factor 1	GO:0016567	|715462	|74287	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Crip3	Crip3	cysteine-rich protein 3	GO:0042098	|776039	|114570	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
