Study	Sample	Disease_stage	Genotype	Timepoint	Gender	Dataset	Age	Original_genotype	Age_timepoint	Phase	Order	Platform	Model_types	Disease
GSE32417	GSE32417_12m_HdhQ150_rep5	Disease	HD	1m	F	GSE32417	12	HdhQ150	12, 18 months	late	13	GPL6246	Human HTT exon 1 KI	HD
GSE32417	GSE32417_12m_HdhQ150_rep6	Disease	HD	1m	F	GSE32417	12	HdhQ150	12, 18 months	late	13	GPL6246	Human HTT exon 1 KI	HD
GSE32417	GSE32417_18m_HdhQ150_rep1	Disease	HD	1m	F	GSE32417	18	HdhQ150	12, 18 months	late	13	GPL6246	Human HTT exon 1 KI	HD
GSE32417	GSE32417_18m_HdhQ150_rep2	Disease	HD	1m	F	GSE32417	18	HdhQ150	12, 18 months	late	13	GPL6246	Human HTT exon 1 KI	HD
GSE32417	GSE32417_18m_HdhQ150_rep3	Disease	HD	1m	F	GSE32417	18	HdhQ150	12, 18 months	late	13	GPL6246	Human HTT exon 1 KI	HD
GSE32417	GSE32417_18m_HdhQ150_rep4	Disease	HD	1m	F	GSE32417	18	HdhQ150	12, 18 months	late	13	GPL6246	Human HTT exon 1 KI	HD
GSE19676	GSE19676_WT_12m_rep1	WT	WT	1m	M	GSE19676	12	WT	NA	late	NA	NA	Full-length transgenic	HD
GSE19676	GSE19676_WT_12m_rep2	WT	WT	1m	M	GSE19676	12	WT	NA	late	NA	NA	Full-length transgenic	HD
GSE19676	GSE19676_WT_12m_rep3	WT	WT	1m	M	GSE19676	12	WT	NA	late	NA	NA	Full-length transgenic	HD
GSE19676	GSE19676_WT_12m_rep4	WT	WT	1m	M	GSE19676	12	WT	NA	late	NA	NA	Full-length transgenic	HD
GSE19676	GSE19676_WT_24m_rep1	WT	WT	1m	F	GSE19676	24	WT	NA	late	NA	NA	Full-length transgenic	HD
GSE19676	GSE19676_WT_24m_rep2	WT	WT	1m	M	GSE19676	24	WT	NA	late	NA	NA	Full-length transgenic	HD
GSE19676	GSE19676_WT_24m_rep3	WT	WT	1m	M	GSE19676	24	WT	NA	late	NA	NA	Full-length transgenic	HD
GSE19676	GSE19676_YAC128_12m_rep1	Disease	HD	1m	M	GSE19676	12	YAC128	12, 24 months	late	14	GPL6333	Full-length transgenic	HD
GSE19676	GSE19676_YAC128_12m_rep2	Disease	HD	1m	M	GSE19676	12	YAC128	12, 24 months	late	14	GPL6333	Full-length transgenic	HD
GSE19676	GSE19676_YAC128_12m_rep3	Disease	HD	1m	M	GSE19676	12	YAC128	12, 24 months	late	14	GPL6333	Full-length transgenic	HD
GSE19676	GSE19676_YAC128_12m_rep4	Disease	HD	1m	M	GSE19676	12	YAC128	12, 24 months	late	14	GPL6333	Full-length transgenic	HD
GSE19676	GSE19676_YAC128_12m_rep5	Disease	HD	1m	F	GSE19676	12	YAC128	12, 24 months	late	14	GPL6333	Full-length transgenic	HD
GSE19676	GSE19676_YAC128_24m_rep1	Disease	HD	1m	F	GSE19676	24	YAC128	12, 24 months	late	14	GPL6333	Full-length transgenic	HD
GSE19676	GSE19676_YAC128_24m_rep2	Disease	HD	1m	M	GSE19676	24	YAC128	12, 24 months	late	14	GPL6333	Full-length transgenic	HD
GSE19676	GSE19676_YAC128_24m_rep3	Disease	HD	1m	M	GSE19676	24	YAC128	12, 24 months	late	14	GPL6333	Full-length transgenic	HD
GSE19676	GSE19676_YAC128_24m_rep4	Disease	HD	1m	M	GSE19676	24	YAC128	12, 24 months	late	14	GPL6333	Full-length transgenic	HD
GSE19676	GSE19676_YAC128_24m_rep5	Disease	HD	1m	M	GSE19676	24	YAC128	12, 24 months	late	14	GPL6333	Full-length transgenic	HD
GSE64386	GSE64386_Str_WT_11m_GN34_1	WT	WT	1m	M	GSE64386	11	WT	NA	late	NA	NA	Full-length transgenic	HD
GSE64386	GSE64386_Str_WT_11m_GN34_5	WT	WT	1m	M	GSE64386	11	WT	NA	late	NA	NA	Full-length transgenic	HD
GSE64386	GSE64386_Str_WT_11m_GN47_1	WT	WT	1m	F	GSE64386	11	WT	NA	late	NA	NA	Full-length transgenic	HD
GSE64386	GSE64386_Str_WT_11m_WT1	WT	WT	1m	F	GSE64386	11	WT	NA	late	NA	NA	Full-length transgenic	HD
GSE64386	GSE64386_Str_TG_11m_GN36_1	Disease	HD	1m	F	GSE64386	11	BAC_HD	11_months	late	16	GPL6885	Full-length transgenic	HD
GSE64386	GSE64386_Str_TG_11m_GN37_3	Disease	HD	1m	M	GSE64386	11	BAC_HD	11_months	late	16	GPL6885	Full-length transgenic	HD
GSE64386	GSE64386_Str_TG_11m_NTN2_1	Disease	HD	1m	M	GSE64386	11	BAC_HD	11_months	late	16	GPL6885	Full-length transgenic	HD
GSE64386	GSE64386_Str_TG_11m_NTN28_2	Disease	HD	1m	F	GSE64386	11	BAC_HD	11_months	late	16	GPL6885	Full-length transgenic	HD
